abort 0x3F0046 %S16 #Signed
error_descriptor[11].desc_text[10] 0x3F198D %UCHAR #Unsigned
error_descriptor[11].desc_text[11] 0x3F198E %UCHAR #Unsigned
error_descriptor[11].desc_text[12] 0x3F198F %UCHAR #Unsigned
error_descriptor[11].desc_text[13] 0x3F1990 %UCHAR #Unsigned
error_descriptor[11].desc_text[14] 0x3F1991 %UCHAR #Unsigned
error_descriptor[11].desc_text[15] 0x3F1992 %UCHAR #Unsigned
error_descriptor[11].desc_text[16] 0x3F1993 %UCHAR #Unsigned
error_descriptor[11].desc_text[2] 0x3F1985 %UCHAR #Unsigned
error_descriptor[11].desc_text[3] 0x3F1986 %UCHAR #Unsigned
error_descriptor[11].desc_text[4] 0x3F1987 %UCHAR #Unsigned
error_descriptor[11].desc_text[5] 0x3F1988 %UCHAR #Unsigned
error_descriptor[11].desc_text[6] 0x3F1989 %UCHAR #Unsigned
error_descriptor[11].desc_text[7] 0x3F198A %UCHAR #Unsigned
error_descriptor[11].desc_text[8] 0x3F198B %UCHAR #Unsigned
error_descriptor[11].desc_text[9] 0x3F198C %UCHAR #Unsigned
error_descriptor[12].desc_number 0x3F1994 %UCHAR #Unsigned
error_descriptor[12].desc_text[0] 0x3F1995 %UCHAR #Unsigned
error_descriptor[12].desc_text[1] 0x3F1996 %UCHAR #Unsigned
error_descriptor[12].desc_text[10] 0x3F199F %UCHAR #Unsigned
error_descriptor[12].desc_text[11] 0x3F19A0 %UCHAR #Unsigned
error_descriptor[12].desc_text[12] 0x3F19A1 %UCHAR #Unsigned
error_descriptor[12].desc_text[13] 0x3F19A2 %UCHAR #Unsigned
error_descriptor[12].desc_text[14] 0x3F19A3 %UCHAR #Unsigned
error_descriptor[12].desc_text[15] 0x3F19A4 %UCHAR #Unsigned
error_descriptor[12].desc_text[16] 0x3F19A5 %UCHAR #Unsigned
error_descriptor[12].desc_text[2] 0x3F1997 %UCHAR #Unsigned
error_descriptor[12].desc_text[3] 0x3F1998 %UCHAR #Unsigned
error_descriptor[12].desc_text[4] 0x3F1999 %UCHAR #Unsigned
error_descriptor[12].desc_text[5] 0x3F199A %UCHAR #Unsigned
error_descriptor[12].desc_text[6] 0x3F199B %UCHAR #Unsigned
error_descriptor[12].desc_text[7] 0x3F199C %UCHAR #Unsigned
error_descriptor[12].desc_text[8] 0x3F199D %UCHAR #Unsigned
error_descriptor[12].desc_text[9] 0x3F199E %UCHAR #Unsigned
error_descriptor[13].desc_number 0x3F19A6 %UCHAR #Unsigned
error_descriptor[13].desc_text[0] 0x3F19A7 %UCHAR #Unsigned
error_descriptor[13].desc_text[1] 0x3F19A8 %UCHAR #Unsigned
error_descriptor[13].desc_text[10] 0x3F19B1 %UCHAR #Unsigned
error_descriptor[13].desc_text[11] 0x3F19B2 %UCHAR #Unsigned
error_descriptor[13].desc_text[12] 0x3F19B3 %UCHAR #Unsigned
error_descriptor[13].desc_text[13] 0x3F19B4 %UCHAR #Unsigned
error_descriptor[13].desc_text[14] 0x3F19B5 %UCHAR #Unsigned
error_descriptor[13].desc_text[15] 0x3F19B6 %UCHAR #Unsigned
error_descriptor[13].desc_text[16] 0x3F19B7 %UCHAR #Unsigned
error_descriptor[13].desc_text[2] 0x3F19A9 %UCHAR #Unsigned
error_descriptor[13].desc_text[3] 0x3F19AA %UCHAR #Unsigned
error_descriptor[13].desc_text[4] 0x3F19AB %UCHAR #Unsigned
error_descriptor[13].desc_text[5] 0x3F19AC %UCHAR #Unsigned
error_descriptor[13].desc_text[6] 0x3F19AD %UCHAR #Unsigned
error_descriptor[13].desc_text[7] 0x3F19AE %UCHAR #Unsigned
error_descriptor[13].desc_text[8] 0x3F19AF %UCHAR #Unsigned
error_descriptor[13].desc_text[9] 0x3F19B0 %UCHAR #Unsigned
error_descriptor[14].desc_number 0x3F19B8 %UCHAR #Unsigned
error_descriptor[14].desc_text[0] 0x3F19B9 %UCHAR #Unsigned
error_descriptor[14].desc_text[1] 0x3F19BA %UCHAR #Unsigned
error_descriptor[14].desc_text[10] 0x3F19C3 %UCHAR #Unsigned
error_descriptor[14].desc_text[11] 0x3F19C4 %UCHAR #Unsigned
error_descriptor[14].desc_text[12] 0x3F19C5 %UCHAR #Unsigned
error_descriptor[14].desc_text[13] 0x3F19C6 %UCHAR #Unsigned
error_descriptor[14].desc_text[14] 0x3F19C7 %UCHAR #Unsigned
error_descriptor[14].desc_text[15] 0x3F19C8 %UCHAR #Unsigned
error_descriptor[14].desc_text[16] 0x3F19C9 %UCHAR #Unsigned
error_descriptor[14].desc_text[2] 0x3F19BB %UCHAR #Unsigned
error_descriptor[14].desc_text[3] 0x3F19BC %UCHAR #Unsigned
error_descriptor[14].desc_text[4] 0x3F19BD %UCHAR #Unsigned
error_descriptor[14].desc_text[5] 0x3F19BE %UCHAR #Unsigned
error_descriptor[14].desc_text[6] 0x3F19BF %UCHAR #Unsigned
error_descriptor[14].desc_text[7] 0x3F19C0 %UCHAR #Unsigned
error_descriptor[14].desc_text[8] 0x3F19C1 %UCHAR #Unsigned
error_descriptor[14].desc_text[9] 0x3F19C2 %UCHAR #Unsigned
error_descriptor[2].desc_number 0x3F18E0 %UCHAR #Unsigned
error_descriptor[2].desc_text[0] 0x3F18E1 %UCHAR #Unsigned
error_descriptor[2].desc_text[1] 0x3F18E2 %UCHAR #Unsigned
error_descriptor[2].desc_text[10] 0x3F18EB %UCHAR #Unsigned
error_descriptor[2].desc_text[11] 0x3F18EC %UCHAR #Unsigned
error_descriptor[2].desc_text[12] 0x3F18ED %UCHAR #Unsigned
error_descriptor[2].desc_text[13] 0x3F18EE %UCHAR #Unsigned
error_descriptor[2].desc_text[14] 0x3F18EF %UCHAR #Unsigned
error_descriptor[2].desc_text[15] 0x3F18F0 %UCHAR #Unsigned
error_descriptor[2].desc_text[16] 0x3F18F1 %UCHAR #Unsigned
error_descriptor[2].desc_text[2] 0x3F18E3 %UCHAR #Unsigned
error_descriptor[2].desc_text[3] 0x3F18E4 %UCHAR #Unsigned
error_descriptor[2].desc_text[4] 0x3F18E5 %UCHAR #Unsigned
error_descriptor[2].desc_text[5] 0x3F18E6 %UCHAR #Unsigned
error_descriptor[2].desc_text[6] 0x3F18E7 %UCHAR #Unsigned
error_descriptor[2].desc_text[7] 0x3F18E8 %UCHAR #Unsigned
error_descriptor[2].desc_text[8] 0x3F18E9 %UCHAR #Unsigned
error_descriptor[2].desc_text[9] 0x3F18EA %UCHAR #Unsigned
error_descriptor[3].desc_number 0x3F18F2 %UCHAR #Unsigned
error_descriptor[3].desc_text[0] 0x3F18F3 %UCHAR #Unsigned
error_descriptor[3].desc_text[1] 0x3F18F4 %UCHAR #Unsigned
error_descriptor[3].desc_text[10] 0x3F18FD %UCHAR #Unsigned
error_descriptor[3].desc_text[11] 0x3F18FE %UCHAR #Unsigned
error_descriptor[3].desc_text[12] 0x3F18FF %UCHAR #Unsigned
error_descriptor[3].desc_text[13] 0x3F1900 %UCHAR #Unsigned
error_descriptor[3].desc_text[14] 0x3F1901 %UCHAR #Unsigned
error_descriptor[3].desc_text[15] 0x3F1902 %UCHAR #Unsigned
error_descriptor[3].desc_text[16] 0x3F1903 %UCHAR #Unsigned
error_descriptor[3].desc_text[2] 0x3F18F5 %UCHAR #Unsigned
error_descriptor[3].desc_text[3] 0x3F18F6 %UCHAR #Unsigned
error_descriptor[3].desc_text[4] 0x3F18F7 %UCHAR #Unsigned
error_descriptor[3].desc_text[5] 0x3F18F8 %UCHAR #Unsigned
error_descriptor[3].desc_text[6] 0x3F18F9 %UCHAR #Unsigned
error_descriptor[3].desc_text[7] 0x3F18FA %UCHAR #Unsigned
error_descriptor[3].desc_text[8] 0x3F18FB %UCHAR #Unsigned
error_descriptor[3].desc_text[9] 0x3F18FC %UCHAR #Unsigned
error_descriptor[4].desc_number 0x3F1904 %UCHAR #Unsigned
error_descriptor[4].desc_text[0] 0x3F1905 %UCHAR #Unsigned
error_descriptor[4].desc_text[1] 0x3F1906 %UCHAR #Unsigned
error_descriptor[4].desc_text[10] 0x3F190F %UCHAR #Unsigned
error_descriptor[4].desc_text[11] 0x3F1910 %UCHAR #Unsigned
error_descriptor[4].desc_text[12] 0x3F1911 %UCHAR #Unsigned
error_descriptor[4].desc_text[13] 0x3F1912 %UCHAR #Unsigned
error_descriptor[4].desc_text[14] 0x3F1913 %UCHAR #Unsigned
error_descriptor[4].desc_text[15] 0x3F1914 %UCHAR #Unsigned
error_descriptor[4].desc_text[16] 0x3F1915 %UCHAR #Unsigned
error_descriptor[4].desc_text[2] 0x3F1907 %UCHAR #Unsigned
error_descriptor[4].desc_text[3] 0x3F1908 %UCHAR #Unsigned
error_descriptor[4].desc_text[4] 0x3F1909 %UCHAR #Unsigned
error_descriptor[4].desc_text[5] 0x3F190A %UCHAR #Unsigned
error_descriptor[4].desc_text[6] 0x3F190B %UCHAR #Unsigned
error_descriptor[4].desc_text[7] 0x3F190C %UCHAR #Unsigned
error_descriptor[4].desc_text[8] 0x3F190D %UCHAR #Unsigned
error_descriptor[4].desc_text[9] 0x3F190E %UCHAR #Unsigned
error_descriptor[5].desc_number 0x3F1916 %UCHAR #Unsigned
error_descriptor[5].desc_text[0] 0x3F1917 %UCHAR #Unsigned
error_descriptor[5].desc_text[1] 0x3F1918 %UCHAR #Unsigned
error_descriptor[5].desc_text[10] 0x3F1921 %UCHAR #Unsigned
error_descriptor[5].desc_text[11] 0x3F1922 %UCHAR #Unsigned
error_descriptor[5].desc_text[12] 0x3F1923 %UCHAR #Unsigned
error_descriptor[5].desc_text[13] 0x3F1924 %UCHAR #Unsigned
error_descriptor[5].desc_text[14] 0x3F1925 %UCHAR #Unsigned
error_descriptor[5].desc_text[15] 0x3F1926 %UCHAR #Unsigned
error_descriptor[5].desc_text[16] 0x3F1927 %UCHAR #Unsigned
error_descriptor[5].desc_text[2] 0x3F1919 %UCHAR #Unsigned
error_descriptor[5].desc_text[3] 0x3F191A %UCHAR #Unsigned
error_descriptor[5].desc_text[4] 0x3F191B %UCHAR #Unsigned
error_descriptor[5].desc_text[5] 0x3F191C %UCHAR #Unsigned
error_descriptor[5].desc_text[6] 0x3F191D %UCHAR #Unsigned
error_descriptor[5].desc_text[7] 0x3F191E %UCHAR #Unsigned
error_descriptor[5].desc_text[8] 0x3F191F %UCHAR #Unsigned
error_descriptor[5].desc_text[9] 0x3F1920 %UCHAR #Unsigned
error_descriptor[6].desc_number 0x3F1928 %UCHAR #Unsigned
error_descriptor[6].desc_text[0] 0x3F1929 %UCHAR #Unsigned
error_descriptor[6].desc_text[1] 0x3F192A %UCHAR #Unsigned
error_descriptor[6].desc_text[10] 0x3F1933 %UCHAR #Unsigned
error_descriptor[6].desc_text[11] 0x3F1934 %UCHAR #Unsigned
error_descriptor[6].desc_text[12] 0x3F1935 %UCHAR #Unsigned
error_descriptor[6].desc_text[13] 0x3F1936 %UCHAR #Unsigned
error_descriptor[6].desc_text[14] 0x3F1937 %UCHAR #Unsigned
error_descriptor[6].desc_text[15] 0x3F1938 %UCHAR #Unsigned
error_descriptor[6].desc_text[16] 0x3F1939 %UCHAR #Unsigned
error_descriptor[6].desc_text[2] 0x3F192B %UCHAR #Unsigned
error_descriptor[6].desc_text[3] 0x3F192C %UCHAR #Unsigned
error_descriptor[6].desc_text[4] 0x3F192D %UCHAR #Unsigned
error_descriptor[6].desc_text[5] 0x3F192E %UCHAR #Unsigned
error_descriptor[6].desc_text[6] 0x3F192F %UCHAR #Unsigned
error_descriptor[6].desc_text[7] 0x3F1930 %UCHAR #Unsigned
error_descriptor[6].desc_text[8] 0x3F1931 %UCHAR #Unsigned
error_descriptor[6].desc_text[9] 0x3F1932 %UCHAR #Unsigned
error_descriptor[7].desc_number 0x3F193A %UCHAR #Unsigned
error_descriptor[7].desc_text[0] 0x3F193B %UCHAR #Unsigned
error_descriptor[7].desc_text[1] 0x3F193C %UCHAR #Unsigned
error_descriptor[7].desc_text[10] 0x3F1945 %UCHAR #Unsigned
error_descriptor[7].desc_text[11] 0x3F1946 %UCHAR #Unsigned
error_descriptor[7].desc_text[12] 0x3F1947 %UCHAR #Unsigned
error_descriptor[7].desc_text[13] 0x3F1948 %UCHAR #Unsigned
error_descriptor[7].desc_text[14] 0x3F1949 %UCHAR #Unsigned
error_descriptor[7].desc_text[15] 0x3F194A %UCHAR #Unsigned
error_descriptor[7].desc_text[16] 0x3F194B %UCHAR #Unsigned
error_descriptor[7].desc_text[2] 0x3F193D %UCHAR #Unsigned
error_descriptor[7].desc_text[3] 0x3F193E %UCHAR #Unsigned
error_descriptor[7].desc_text[4] 0x3F193F %UCHAR #Unsigned
error_descriptor[7].desc_text[5] 0x3F1940 %UCHAR #Unsigned
error_descriptor[7].desc_text[6] 0x3F1941 %UCHAR #Unsigned
error_descriptor[7].desc_text[7] 0x3F1942 %UCHAR #Unsigned
error_descriptor[7].desc_text[8] 0x3F1943 %UCHAR #Unsigned
error_descriptor[7].desc_text[9] 0x3F1944 %UCHAR #Unsigned
error_descriptor[8].desc_number 0x3F194C %UCHAR #Unsigned
error_descriptor[8].desc_text[0] 0x3F194D %UCHAR #Unsigned
error_descriptor[8].desc_text[1] 0x3F194E %UCHAR #Unsigned
error_descriptor[8].desc_text[10] 0x3F1957 %UCHAR #Unsigned
error_descriptor[8].desc_text[11] 0x3F1958 %UCHAR #Unsigned
error_descriptor[8].desc_text[12] 0x3F1959 %UCHAR #Unsigned
error_descriptor[8].desc_text[13] 0x3F195A %UCHAR #Unsigned
error_descriptor[8].desc_text[14] 0x3F195B %UCHAR #Unsigned
error_descriptor[8].desc_text[15] 0x3F195C %UCHAR #Unsigned
error_descriptor[8].desc_text[16] 0x3F195D %UCHAR #Unsigned
error_descriptor[8].desc_text[2] 0x3F194F %UCHAR #Unsigned
error_descriptor[8].desc_text[3] 0x3F1950 %UCHAR #Unsigned
error_descriptor[8].desc_text[4] 0x3F1951 %UCHAR #Unsigned
error_descriptor[8].desc_text[5] 0x3F1952 %UCHAR #Unsigned
error_descriptor[8].desc_text[6] 0x3F1953 %UCHAR #Unsigned
error_descriptor[8].desc_text[7] 0x3F1954 %UCHAR #Unsigned
error_descriptor[8].desc_text[8] 0x3F1955 %UCHAR #Unsigned
error_descriptor[8].desc_text[9] 0x3F1956 %UCHAR #Unsigned
error_descriptor[9].desc_number 0x3F195E %UCHAR #Unsigned
error_descriptor[9].desc_text[0] 0x3F195F %UCHAR #Unsigned
error_descriptor[9].desc_text[1] 0x3F1960 %UCHAR #Unsigned
error_descriptor[9].desc_text[10] 0x3F1969 %UCHAR #Unsigned
error_descriptor[9].desc_text[11] 0x3F196A %UCHAR #Unsigned
error_descriptor[9].desc_text[12] 0x3F196B %UCHAR #Unsigned
error_descriptor[9].desc_text[13] 0x3F196C %UCHAR #Unsigned
error_descriptor[9].desc_text[14] 0x3F196D %UCHAR #Unsigned
error_descriptor[9].desc_text[15] 0x3F196E %UCHAR #Unsigned
error_descriptor[9].desc_text[16] 0x3F196F %UCHAR #Unsigned
error_descriptor[9].desc_text[2] 0x3F1961 %UCHAR #Unsigned
error_descriptor[9].desc_text[3] 0x3F1962 %UCHAR #Unsigned
error_descriptor[9].desc_text[4] 0x3F1963 %UCHAR #Unsigned
error_descriptor[9].desc_text[5] 0x3F1964 %UCHAR #Unsigned
error_descriptor[9].desc_text[6] 0x3F1965 %UCHAR #Unsigned
error_descriptor[9].desc_text[7] 0x3F1966 %UCHAR #Unsigned
error_descriptor[9].desc_text[8] 0x3F1967 %UCHAR #Unsigned
error_descriptor[9].desc_text[9] 0x3F1968 %UCHAR #Unsigned
exit 0x3F0048 %S16 #Signed
f_samp 0x3F18AA %U16 #Unsigned
Flash_CPUScaleFactor 0x0D04 %U32 #Unsigned
FlashRegs.FACTIVEWAIT.all 0x0A85 %U16 #Unsigned
FlashRegs.FACTIVEWAIT.bit.ACTIVEWAIT 0x0A85 %B16 #MASK=0x1FF
FlashRegs.FACTIVEWAIT.bit.rsvd 0x0A85 %B16 #MASK=0xFE00
FlashRegs.FBANKWAIT.all 0x0A86 %U16 #Unsigned
FlashRegs.FBANKWAIT.bit.PAGEWAIT 0x0A86 %B16 #MASK=0xF00
FlashRegs.FBANKWAIT.bit.RANDWAIT 0x0A86 %B16 #MASK=0xF
FlashRegs.FBANKWAIT.bit.rsvd1 0x0A86 %B16 #MASK=0xF0
FlashRegs.FBANKWAIT.bit.rsvd2 0x0A86 %B16 #MASK=0xF000
FlashRegs.FOPT.all 0x0A80 %U16 #Unsigned
FlashRegs.FOPT.bit.ENPIPE 0x0A80 %B16 #MASK=0x1
FlashRegs.FOPT.bit.rsvd 0x0A80 %B16 #MASK=0xFFFE
FlashRegs.FOTPWAIT.all 0x0A87 %U16 #Unsigned
FlashRegs.FOTPWAIT.bit.OTPWAIT 0x0A87 %B16 #MASK=0x1F
FlashRegs.FOTPWAIT.bit.rsvd 0x0A87 %B16 #MASK=0xFFE0
FlashRegs.FPWR.all 0x0A82 %U16 #Unsigned
FlashRegs.FPWR.bit.PWR 0x0A82 %B16 #MASK=0x3
FlashRegs.FPWR.bit.rsvd 0x0A82 %B16 #MASK=0xFFFC
FlashRegs.FSTATUS.all 0x0A83 %U16 #Unsigned
FlashRegs.FSTATUS.bit.ACTIVEWAITS 0x0A83 %B16 #MASK=0x8
FlashRegs.FSTATUS.bit.PWRS 0x0A83 %B16 #MASK=0x3
FlashRegs.FSTATUS.bit.rsvd1 0x0A83 %B16 #MASK=0xF0
FlashRegs.FSTATUS.bit.rsvd2 0x0A83 %B16 #MASK=0xFE00
FlashRegs.FSTATUS.bit.STDBYWAITS 0x0A83 %B16 #MASK=0x4
FlashRegs.FSTATUS.bit.V3STAT 0x0A83 %B16 #MASK=0x100
FlashRegs.FSTDBYWAIT.all 0x0A84 %U16 #Unsigned
FlashRegs.FSTDBYWAIT.bit.rsvd 0x0A84 %B16 #MASK=0xFE00
FlashRegs.FSTDBYWAIT.bit.STDBYWAIT 0x0A84 %B16 #MASK=0x1FF
FlashRegs.rsvd1 0x0A81 %U16 #Unsigned
GpioCtrlRegs.AIODIR.all 0x6FBA %U16 #Unsigned
GpioCtrlRegs.AIODIR.bit.AIO10 0x6FBA %B16 #MASK=0x400
GpioCtrlRegs.AIODIR.bit.AIO12 0x6FBA %B16 #MASK=0x1000
GpioCtrlRegs.AIODIR.bit.AIO14 0x6FBA %B16 #MASK=0x4000
GpioCtrlRegs.AIODIR.bit.AIO2 0x6FBA %B16 #MASK=0x4
GpioCtrlRegs.AIODIR.bit.AIO4 0x6FBA %B16 #MASK=0x10
GpioCtrlRegs.AIODIR.bit.AIO6 0x6FBA %B16 #MASK=0x40
GpioCtrlRegs.AIODIR.bit.rsvd1 0x6FBA %B16 #MASK=0x1
GpioCtrlRegs.AIODIR.bit.rsvd10 0x6FBA %B16 #MASK=0x8000
GpioCtrlRegs.AIODIR.bit.rsvd2 0x6FBA %B16 #MASK=0x2
GpioCtrlRegs.AIODIR.bit.rsvd3 0x6FBA %B16 #MASK=0x8
GpioCtrlRegs.AIODIR.bit.rsvd4 0x6FBA %B16 #MASK=0x20
GpioCtrlRegs.AIODIR.bit.rsvd5 0x6FBA %B16 #MASK=0x80
GpioCtrlRegs.AIODIR.bit.rsvd6 0x6FBA %B16 #MASK=0x100
GpioCtrlRegs.AIODIR.bit.rsvd7 0x6FBA %B16 #MASK=0x200
GpioCtrlRegs.AIODIR.bit.rsvd8 0x6FBA %B16 #MASK=0x800
GpioCtrlRegs.AIODIR.bit.rsvd9 0x6FBA %B16 #MASK=0x2000
GpioCtrlRegs.AIOMUX1.all 0x6FB6 %U32 #Unsigned
GpioCtrlRegs.AIOMUX1.bit.AIO10 0x6FB6 %B32 #MASK=0x300000
GpioCtrlRegs.AIOMUX1.bit.AIO12 0x6FB6 %B32 #MASK=0x3000000
GpioCtrlRegs.AIOMUX1.bit.AIO14 0x6FB6 %B32 #MASK=0x30000000
GpioCtrlRegs.AIOMUX1.bit.AIO2 0x6FB6 %B32 #MASK=0x30
GpioCtrlRegs.AIOMUX1.bit.AIO4 0x6FB6 %B32 #MASK=0x300
GpioCtrlRegs.AIOMUX1.bit.AIO6 0x6FB6 %B32 #MASK=0x3000
GpioCtrlRegs.AIOMUX1.bit.rsvd1 0x6FB6 %B32 #MASK=0x3
GpioCtrlRegs.AIOMUX1.bit.rsvd10 0x6FB6 %B32 #MASK=0xC0000000
GpioCtrlRegs.AIOMUX1.bit.rsvd2 0x6FB6 %B32 #MASK=0xC
GpioCtrlRegs.AIOMUX1.bit.rsvd3 0x6FB6 %B32 #MASK=0xC0
GpioCtrlRegs.AIOMUX1.bit.rsvd4 0x6FB6 %B32 #MASK=0xC00
GpioCtrlRegs.AIOMUX1.bit.rsvd5 0x6FB6 %B32 #MASK=0xC000
GpioCtrlRegs.AIOMUX1.bit.rsvd6 0x6FB6 %B32 #MASK=0x30000
GpioCtrlRegs.AIOMUX1.bit.rsvd7 0x6FB6 %B32 #MASK=0xC0000
GpioCtrlRegs.AIOMUX1.bit.rsvd8 0x6FB6 %B32 #MASK=0xC00000
GpioCtrlRegs.AIOMUX1.bit.rsvd9 0x6FB6 %B32 #MASK=0xC000000
GpioCtrlRegs.GPACTRL.all 0x6F80 %U32 #Unsigned
GpioCtrlRegs.GPACTRL.bit.QUALPRD0 0x6F80 %B32 #MASK=0xFF
GpioCtrlRegs.GPACTRL.bit.QUALPRD1 0x6F80 %B32 #MASK=0xFF00
GpioCtrlRegs.GPACTRL.bit.QUALPRD2 0x6F80 %B32 #MASK=0xFF0000
GpioCtrlRegs.GPACTRL.bit.QUALPRD3 0x6F80 %B32 #MASK=0xFF000000
GpioCtrlRegs.GPADIR.all 0x6F8A %U32 #Unsigned
GpioCtrlRegs.GPADIR.bit.GPIO0 0x6F8A %B32 #MASK=0x1
GpioCtrlRegs.GPADIR.bit.GPIO1 0x6F8A %B32 #MASK=0x2
GpioCtrlRegs.GPADIR.bit.GPIO10 0x6F8A %B32 #MASK=0x400
GpioCtrlRegs.GPADIR.bit.GPIO11 0x6F8A %B32 #MASK=0x800
GpioCtrlRegs.GPADIR.bit.GPIO12 0x6F8A %B32 #MASK=0x1000
GpioCtrlRegs.GPADIR.bit.GPIO13 0x6F8A %B32 #MASK=0x2000
GpioCtrlRegs.GPADIR.bit.GPIO14 0x6F8A %B32 #MASK=0x4000
GpioCtrlRegs.GPADIR.bit.GPIO15 0x6F8A %B32 #MASK=0x8000
GpioCtrlRegs.GPADIR.bit.GPIO16 0x6F8A %B32 #MASK=0x10000
GpioCtrlRegs.GPADIR.bit.GPIO17 0x6F8A %B32 #MASK=0x20000
GpioCtrlRegs.GPADIR.bit.GPIO18 0x6F8A %B32 #MASK=0x40000
GpioCtrlRegs.GPADIR.bit.GPIO19 0x6F8A %B32 #MASK=0x80000
GpioCtrlRegs.GPADIR.bit.GPIO2 0x6F8A %B32 #MASK=0x4
GpioCtrlRegs.GPADIR.bit.GPIO20 0x6F8A %B32 #MASK=0x100000
GpioCtrlRegs.GPADIR.bit.GPIO21 0x6F8A %B32 #MASK=0x200000
GpioCtrlRegs.GPADIR.bit.GPIO22 0x6F8A %B32 #MASK=0x400000
GpioCtrlRegs.GPADIR.bit.GPIO23 0x6F8A %B32 #MASK=0x800000
GpioCtrlRegs.GPADIR.bit.GPIO24 0x6F8A %B32 #MASK=0x1000000
GpioCtrlRegs.GPADIR.bit.GPIO25 0x6F8A %B32 #MASK=0x2000000
GpioCtrlRegs.GPADIR.bit.GPIO26 0x6F8A %B32 #MASK=0x4000000
GpioCtrlRegs.GPADIR.bit.GPIO27 0x6F8A %B32 #MASK=0x8000000
GpioCtrlRegs.GPADIR.bit.GPIO28 0x6F8A %B32 #MASK=0x10000000
GpioCtrlRegs.GPADIR.bit.GPIO29 0x6F8A %B32 #MASK=0x20000000
GpioCtrlRegs.GPADIR.bit.GPIO3 0x6F8A %B32 #MASK=0x8
GpioCtrlRegs.GPADIR.bit.GPIO30 0x6F8A %B32 #MASK=0x40000000
GpioCtrlRegs.GPADIR.bit.GPIO31 0x6F8A %B32 #MASK=0x80000000
GpioCtrlRegs.GPADIR.bit.GPIO4 0x6F8A %B32 #MASK=0x10
GpioCtrlRegs.GPADIR.bit.GPIO5 0x6F8A %B32 #MASK=0x20
GpioCtrlRegs.GPADIR.bit.GPIO6 0x6F8A %B32 #MASK=0x40
GpioCtrlRegs.GPADIR.bit.GPIO7 0x6F8A %B32 #MASK=0x80
GpioCtrlRegs.GPADIR.bit.GPIO8 0x6F8A %B32 #MASK=0x100
GpioCtrlRegs.GPADIR.bit.GPIO9 0x6F8A %B32 #MASK=0x200
GpioCtrlRegs.GPAMUX1.all 0x6F86 %U32 #Unsigned
GpioCtrlRegs.GPAMUX1.bit.GPIO0 0x6F86 %B32 #MASK=0x3
GpioCtrlRegs.GPAMUX1.bit.GPIO1 0x6F86 %B32 #MASK=0xC
GpioCtrlRegs.GPAMUX1.bit.GPIO10 0x6F86 %B32 #MASK=0x300000
GpioCtrlRegs.GPAMUX1.bit.GPIO11 0x6F86 %B32 #MASK=0xC00000
GpioCtrlRegs.GPAMUX1.bit.GPIO12 0x6F86 %B32 #MASK=0x3000000
GpioCtrlRegs.GPAMUX1.bit.GPIO13 0x6F86 %B32 #MASK=0xC000000
GpioCtrlRegs.GPAMUX1.bit.GPIO14 0x6F86 %B32 #MASK=0x30000000
GpioCtrlRegs.GPAMUX1.bit.GPIO15 0x6F86 %B32 #MASK=0xC0000000
GpioCtrlRegs.GPAMUX1.bit.GPIO2 0x6F86 %B32 #MASK=0x30
GpioCtrlRegs.GPAMUX1.bit.GPIO3 0x6F86 %B32 #MASK=0xC0
GpioCtrlRegs.GPAMUX1.bit.GPIO4 0x6F86 %B32 #MASK=0x300
GpioCtrlRegs.GPAMUX1.bit.GPIO5 0x6F86 %B32 #MASK=0xC00
GpioCtrlRegs.GPAMUX1.bit.GPIO6 0x6F86 %B32 #MASK=0x3000
GpioCtrlRegs.GPAMUX1.bit.GPIO7 0x6F86 %B32 #MASK=0xC000
GpioCtrlRegs.GPAMUX1.bit.GPIO8 0x6F86 %B32 #MASK=0x30000
GpioCtrlRegs.GPAMUX1.bit.GPIO9 0x6F86 %B32 #MASK=0xC0000
GpioCtrlRegs.GPAMUX2.all 0x6F88 %U32 #Unsigned
GpioCtrlRegs.GPAMUX2.bit.GPIO16 0x6F88 %B32 #MASK=0x3
GpioCtrlRegs.GPAMUX2.bit.GPIO17 0x6F88 %B32 #MASK=0xC
GpioCtrlRegs.GPAMUX2.bit.GPIO18 0x6F88 %B32 #MASK=0x30
GpioCtrlRegs.GPAMUX2.bit.GPIO19 0x6F88 %B32 #MASK=0xC0
GpioCtrlRegs.GPAMUX2.bit.GPIO20 0x6F88 %B32 #MASK=0x300
GpioCtrlRegs.GPAMUX2.bit.GPIO21 0x6F88 %B32 #MASK=0xC00
GpioCtrlRegs.GPAMUX2.bit.GPIO22 0x6F88 %B32 #MASK=0x3000
GpioCtrlRegs.GPAMUX2.bit.GPIO23 0x6F88 %B32 #MASK=0xC000
GpioCtrlRegs.GPAMUX2.bit.GPIO24 0x6F88 %B32 #MASK=0x30000
GpioCtrlRegs.GPAMUX2.bit.GPIO25 0x6F88 %B32 #MASK=0xC0000
GpioCtrlRegs.GPAMUX2.bit.GPIO26 0x6F88 %B32 #MASK=0x300000
GpioCtrlRegs.GPAMUX2.bit.GPIO27 0x6F88 %B32 #MASK=0xC00000
GpioCtrlRegs.GPAMUX2.bit.GPIO28 0x6F88 %B32 #MASK=0x3000000
GpioCtrlRegs.GPAMUX2.bit.GPIO29 0x6F88 %B32 #MASK=0xC000000
GpioCtrlRegs.GPAMUX2.bit.GPIO30 0x6F88 %B32 #MASK=0x30000000
